,MIDI Note,Note,Octave,time,value
1248678,38,D,3,9755,0.14358089259731516
1248679,39,D#,3,9755,0.1417381506517127
1248680,40,E,3,9755,0.18223392990260745
1248681,41,F,3,9755,0.25576226721443507
1248682,42,F#,3,9755,0.2631109049131909
1248683,43,G,3,9755,0.25064249273201467
1248684,44,G#,3,9755,0.23591680427543488
1248685,45,A,3,9755,0.18071989503066505
1248686,46,A#,3,9755,0.1247967133596214
1248687,47,B,3,9755,0.10288001382464437
1248688,48,C,4,9755,0.11095835302624456
1248689,49,C#,4,9755,0.14931330751993285
1248690,50,D,4,9755,0.1353246102616281
1248696,56,G#,4,9755,0.11968212548847204
1248702,62,D,5,9755,0.12709490732477272
1248703,63,D#,5,9755,0.19427366592199574
1248704,64,E,5,9755,0.14632471468416292
1248712,72,C,6,9755,0.23845819952774516
1248713,73,C#,6,9755,0.2354393087220416
1248714,74,D,6,9755,0.22918933218883436
1248715,75,D#,6,9755,0.13297386178299855
1248716,76,E,6,9755,0.17323044684832348
1248717,77,F,6,9755,0.12807032276548164
1248731,91,G,7,9755,0.11289489437604618
1248732,92,G#,7,9755,0.22036971806689223
1248733,93,A,7,9755,0.17568174365808417
1248736,96,C,8,9755,0.12723578038456201
1248806,38,D,3,9756,0.11800071126669193
1248808,40,E,3,9756,0.12996288208410292
1248809,41,F,3,9756,0.22104990282634884
1248810,42,F#,3,9756,0.20995750687222184
1248811,43,G,3,9756,0.18741735520051206
1248812,44,G#,3,9756,0.18536720267216064
1248813,45,A,3,9756,0.12116315255229441
1248844,76,E,6,9756,0.14424207441713868
1248860,92,G#,7,9756,0.11192925301433033
1248861,93,A,7,9756,0.10058672911043959
1248937,41,F,3,9757,0.1640831533475047
1248938,42,F#,3,9757,0.12985957184103447
1248939,43,G,3,9757,0.10374400730181335
1248940,44,G#,3,9757,0.11224524198477742
1248968,72,C,6,9757,0.12875505270260337
1248969,73,C#,6,9757,0.13661993125101504
1248988,92,G#,7,9757,0.11829225413018163
1248989,93,A,7,9757,0.12067987303157364
1249065,41,F,3,9758,0.10535209520363253
1250619,59,B,4,9770,0.10556844417656805
1250620,60,C,5,9770,0.15536367176902385
1250621,61,C#,5,9770,0.15591189737708214
1250622,62,D,5,9770,0.13753568117011053
1250623,63,D#,5,9770,0.2111829691616629
1250624,64,E,5,9770,0.221637351901967
1250625,65,F,5,9770,0.1961417354892181
1250628,68,G#,5,9770,0.1604358505698998
1250629,69,A,5,9770,0.33259308916623503
1250630,70,A#,5,9770,0.4709388888162894
1250631,71,B,5,9770,0.32871704152679887
1250632,72,C,6,9770,0.27829998161369757
1250633,73,C#,6,9770,0.16304707998434695
1250634,74,D,6,9770,0.1160872760411088
1250635,75,D#,6,9770,0.10899898263582539
1250636,76,E,6,9770,0.14676883303870514
1250637,77,F,6,9770,0.14381490862799243
1250638,78,F#,6,9770,0.11735234322580158
1250747,59,B,4,9771,0.12725497920624076
1250748,60,C,5,9771,0.13054671107916763
1250749,61,C#,5,9771,0.20728036419046672
1250750,62,D,5,9771,0.3174514491000013
1250751,63,D#,5,9771,0.33380384929261286
1250752,64,E,5,9771,0.35447620729577345
1250753,65,F,5,9771,0.3863771180663029
1250754,66,F#,5,9771,0.37065354632868147
1250755,67,G,5,9771,0.22356616591165662
1250756,68,G#,5,9771,0.46566831159782823
1250757,69,A,5,9771,1.0054979180823231
1250758,70,A#,5,9771,0.9006816658545596
1250759,71,B,5,9771,0.3407764081261021
1250760,72,C,6,9771,0.6642880182703663
1250761,73,C#,6,9771,0.7018093709532649
1250762,74,D,6,9771,0.40594721205021933
1250764,76,E,6,9771,0.11557669939291856
1250766,78,F#,6,9771,0.23042019293723798
1250767,79,G,6,9771,0.30287839439248077
1250768,80,G#,6,9771,0.24137812458235894
1250877,61,C#,5,9772,0.10253044818519783
1250878,62,D,5,9772,0.22231317897089214
1250880,64,E,5,9772,0.14251548215839988
1250881,65,F,5,9772,0.15125628662938248
1250882,66,F#,5,9772,0.33685049675655715
1250883,67,G,5,9772,0.27999811159931826
1250884,68,G#,5,9772,0.5537861846535278
1250885,69,A,5,9772,0.2604616741481595
1250889,73,C#,6,9772,0.1390673451185156
1250890,74,D,6,9772,0.35798089788215953
1250891,75,D#,6,9772,0.24462272348170763
1250895,79,G,6,9772,0.11557833875444185
1250896,80,G#,6,9772,0.13594400325074774
1250897,81,A,6,9772,0.10482290416148761
1251006,62,D,5,9773,0.20611739775149662
1251007,63,D#,5,9773,0.1587043471449949
1251009,65,F,5,9773,0.15153618052300666
1251010,66,F#,5,9773,0.12725480542699208
1251011,67,G,5,9773,0.13926837686467564
1251012,68,G#,5,9773,0.3521814938127045
