,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
272,1.0,,,,,,,45.0,,,,4,note_on,,101.0,45.0,101.0,2122,2.763020833333333,384,1.0_0.0,Acoustic Bass,3.0,9.0,3,D#,270
348,9.0,,,,,,,44.0,,,,164,note_on,,101.0,44.0,101.0,2132,2.7760416666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
276,1.0,,,,,,,47.0,,,,38,note_on,,104.0,47.0,104.0,2174,2.8307291666666665,384,1.0_0.0,Acoustic Bass,3.0,11.0,5,F,330
280,1.0,,,,,,,48.0,,,,2,note_on,,101.0,48.0,101.0,2190,2.8515625,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
226,2.0,,,,,,,67.0,,,,394,note_on,,106.0,67.0,106.0,2200,2.864583333333333,384,2.0_0.0,Acoustic Grand Piano,5.0,7.0,1,C#,210
227,2.0,,,,,,,71.0,,,,0,note_on,,107.0,71.0,107.0,2200,2.864583333333333,384,2.0_0.0,Acoustic Grand Piano,5.0,11.0,5,F,330
229,2.0,,,,,,,62.0,,,,2,note_on,,105.0,62.0,105.0,2202,2.8671875,384,2.0_0.0,Acoustic Grand Piano,5.0,2.0,2,D,60
231,2.0,,,,,,,52.0,,,,6,note_on,,99.0,52.0,99.0,2208,2.875,384,2.0_0.0,Acoustic Grand Piano,4.0,4.0,4,E,120
232,2.0,,,,,,,57.0,,,,2,note_on,,91.0,57.0,91.0,2210,2.8776041666666665,384,2.0_0.0,Acoustic Grand Piano,4.0,9.0,3,D#,270
283,1.0,,,,,,,50.0,,,,36,note_on,,113.0,50.0,113.0,2226,2.8984375,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
289,1.0,,,,,,,52.0,,,,30,note_on,,113.0,52.0,113.0,2270,2.9557291666666665,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
295,1.0,,,,,,,48.0,,,,14,note_on,,100.0,48.0,100.0,2308,3.005208333333333,384,1.0_0.0,Acoustic Bass,4.0,0.0,0,C,0
298,1.0,,,,,,,50.0,,,,8,note_on,,103.0,50.0,103.0,2316,3.015625,384,1.0_0.0,Acoustic Bass,4.0,2.0,2,D,60
354,9.0,,,,,,,44.0,,,,196,note_on,,97.0,44.0,97.0,2332,3.036458333333333,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
362,9.0,,,,,,,44.0,,,,84,note_on,,99.0,44.0,99.0,2420,3.1510416666666665,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
371,9.0,,,,,,,39.0,,,,2,note_on,,85.0,39.0,85.0,2426,3.1588541666666665,384,9.0_0.0,Violin,3.0,3.0,9,A,90
338,1.0,,,,,,,52.0,,,,102,note_on,,125.0,52.0,125.0,2482,3.231770833333333,384,1.0_0.0,Acoustic Bass,4.0,4.0,4,E,120
374,9.0,,,,,,,44.0,,,,102,note_on,,108.0,44.0,108.0,2532,3.296875,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
381,9.0,,,,,,,39.0,,,,48,note_on,,90.0,39.0,90.0,2584,3.364583333333333,384,9.0_0.0,Violin,3.0,3.0,9,A,90
246,2.0,,,,,,,65.0,,,,42,note_on,,106.0,65.0,106.0,2592,3.375,384,2.0_0.0,Acoustic Grand Piano,5.0,5.0,11,B,150
247,2.0,,,,,,,69.0,,,,0,note_on,,105.0,69.0,105.0,2592,3.375,384,2.0_0.0,Acoustic Grand Piano,5.0,9.0,3,D#,270
248,2.0,,,,,,,55.0,,,,14,note_on,,95.0,55.0,95.0,2606,3.3932291666666665,384,2.0_0.0,Acoustic Grand Piano,4.0,7.0,1,C#,210
249,2.0,,,,,,,60.0,,,,0,note_on,,100.0,60.0,100.0,2606,3.3932291666666665,384,2.0_0.0,Acoustic Grand Piano,5.0,0.0,0,C,0
