,channel,clocks_per_click,control,denominator,key,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
8764,5.0,,,,,,,81.0,,,,60,note_on,,0.0,81.0,0.0,17163,71.5125,120,5.0_17.0,Electric Guitar (jazz)
8765,5.0,,,,,,,77.0,,,,0,note_on,,77.0,77.0,77.0,17163,71.5125,120,5.0_17.0,Electric Guitar (jazz)
8766,5.0,,,,,,,77.0,,,,60,note_on,,0.0,77.0,0.0,17223,71.7625,120,5.0_17.0,Electric Guitar (jazz)
8767,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,17223,71.7625,120,5.0_17.0,Electric Guitar (jazz)
8768,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,17283,72.0125,120,5.0_18.0,Electric Guitar (jazz)
8769,5.0,,,,,,,65.0,,,,0,note_on,,0.0,65.0,0.0,17283,72.0125,120,5.0_18.0,Electric Guitar (jazz)
8770,5.0,,,,,,,65.0,,,,0,note_on,,100.0,65.0,100.0,17283,72.0125,120,5.0_18.0,Electric Guitar (jazz)
8771,5.0,,,,,,,77.0,,,,0,note_on,,77.0,77.0,77.0,17283,72.0125,120,5.0_18.0,Electric Guitar (jazz)
8772,5.0,,,,,,,77.0,,,,60,note_on,,0.0,77.0,0.0,17343,72.2625,120,5.0_18.0,Electric Guitar (jazz)
8773,5.0,,,,,,,69.0,,,,0,note_on,,77.0,69.0,77.0,17343,72.2625,120,5.0_18.0,Electric Guitar (jazz)
8774,5.0,,,,,,,69.0,,,,60,note_on,,0.0,69.0,0.0,17403,72.5125,120,5.0_18.0,Electric Guitar (jazz)
8775,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,17403,72.5125,120,5.0_18.0,Electric Guitar (jazz)
8776,5.0,,,,,,,72.0,,,,60,note_on,,0.0,72.0,0.0,17463,72.7625,120,5.0_18.0,Electric Guitar (jazz)
8777,5.0,,,,,,,81.0,,,,0,note_on,,77.0,81.0,77.0,17463,72.7625,120,5.0_18.0,Electric Guitar (jazz)
8778,5.0,,,,,,,81.0,,,,60,note_on,,0.0,81.0,0.0,17523,73.0125,120,5.0_18.0,Electric Guitar (jazz)
8779,5.0,,,,,,,77.0,,,,0,note_on,,77.0,77.0,77.0,17523,73.0125,120,5.0_18.0,Electric Guitar (jazz)
8780,5.0,,,,,,,77.0,,,,60,note_on,,0.0,77.0,0.0,17583,73.2625,120,5.0_18.0,Electric Guitar (jazz)
8781,5.0,,,,,,,72.0,,,,0,note_on,,77.0,72.0,77.0,17583,73.2625,120,5.0_18.0,Electric Guitar (jazz)
