,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
182,15.0,,93.0,,,,,,,,,,,,,,,,,0,control_change,64.0,,,,25,0.026041666666666668,480,15.0_0.0,Pizzicato Strings
183,11.0,,99.0,,,,,,,,,,,,,,,,,85,control_change,1.0,,,,110,0.11458333333333333,480,11.0_0.0,Pizzicato Strings
184,11.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,32.0,,,,115,0.11979166666666667,480,11.0_0.0,Pizzicato Strings
185,11.0,,6.0,,,,,,,,,,,,,,,,,5,control_change,61.0,,,,120,0.125,480,11.0_0.0,Pizzicato Strings
186,11.0,,99.0,,,,,,,,,,,,,,,,,5,control_change,1.0,,,,125,0.13020833333333334,480,11.0_0.0,Pizzicato Strings
187,11.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,99.0,,,,130,0.13541666666666666,480,11.0_0.0,Pizzicato Strings
188,11.0,,6.0,,,,,,,,,,,,,,,,,5,control_change,58.0,,,,135,0.140625,480,11.0_0.0,Pizzicato Strings
189,11.0,,99.0,,,,,,,,,,,,,,,,,5,control_change,1.0,,,,140,0.14583333333333334,480,11.0_0.0,Pizzicato Strings
190,11.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,102.0,,,,145,0.15104166666666666,480,11.0_0.0,Pizzicato Strings
191,11.0,,6.0,,,,,,,,,,,,,,,,,5,control_change,62.0,,,,150,0.15625,480,11.0_0.0,Pizzicato Strings
192,12.0,,99.0,,,,,,,,,,,,,,,,,5,control_change,1.0,,,,30,0.03125,480,12.0_0.0,Pizzicato Strings
193,12.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,32.0,,,,35,0.036458333333333336,480,12.0_0.0,Pizzicato Strings
194,12.0,,6.0,,,,,,,,,,,,,,,,,5,control_change,61.0,,,,40,0.041666666666666664,480,12.0_0.0,Pizzicato Strings
195,12.0,,99.0,,,,,,,,,,,,,,,,,5,control_change,1.0,,,,45,0.046875,480,12.0_0.0,Pizzicato Strings
196,12.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,99.0,,,,50,0.052083333333333336,480,12.0_0.0,Pizzicato Strings
197,12.0,,6.0,,,,,,,,,,,,,,,,,5,control_change,58.0,,,,55,0.057291666666666664,480,12.0_0.0,Pizzicato Strings
198,12.0,,99.0,,,,,,,,,,,,,,,,,5,control_change,1.0,,,,60,0.0625,480,12.0_0.0,Pizzicato Strings
199,12.0,,98.0,,,,,,,,,,,,,,,,,5,control_change,102.0,,,,65,0.06770833333333333,480,12.0_0.0,Pizzicato Strings
